,Unnamed: 0,age,age_onset,birthplace,filename,native_language,sex,speakerid,country,file_missing?,Unnamed: 9,Unnamed: 10,Unnamed: 11,wer,wil,new_wer,new_wil
0,0,24.0,12.0,"koussi, senegal",balanta,balanta,male,788,senegal,True,,,,1.0,1.0,1.0,1.0
1,1,18.0,10.0,"buea, cameroon",cameroon,cameroon,male,1953,cameroon,True,,,,1.0,1.0,1.0,1.0
2,2,48.0,8.0,"hong, adamawa, nigeria",fulfulde,fulfulde,male,1037,nigeria,True,,,,1.0,1.0,1.0,1.0
3,3,42.0,42.0,"port-au-prince, haiti",haitian,haitian,male,1165,haiti,True,,,,1.0,1.0,1.0,1.0
4,4,40.0,35.0,"port-au-prince, haiti",haitian,haitian,male,1166,haiti,True,,,,1.0,1.0,1.0,1.0
5,5,43.0,41.0,"port-au-prince, haiti",haitian,haitian,male,1167,haiti,True,,,,1.0,1.0,1.0,1.0
6,6,21.0,21.0,"port-au-prince, haiti",haitian,haitian,male,1168,haiti,True,,,,1.0,1.0,1.0,1.0
7,7,54.0,51.0,"port-au-prince, haiti",haitian,haitian,female,1169,haiti,True,,,,1.0,1.0,1.0,1.0
8,8,18.0,16.0,"ouanaminthe, haiti",haitian,haitian,female,1866,haiti,True,,,,1.0,1.0,1.0,1.0
9,9,73.0,5.0,"pepeekeo, hawai'i, usa",hawai'i,hawai'i,male,1675,usa,True,,,,1.0,1.0,1.0,1.0
10,10,69.0,4.0,"pa'ia, hawai'i, usa",hawai'i,hawai'i,female,1676,usa,True,,,,1.0,1.0,1.0,1.0
11,11,69.0,7.0,"cave valley, jamaica",jamaican,jamaican,male,967,jamaica,True,,,,1.0,1.0,1.0,1.0
12,12,21.0,6.0,"kingston, jamaica",jamaican,jamaican,male,1540,jamaica,True,,,,1.0,1.0,1.0,1.0
13,13,19.0,3.0,"montego bay, jamaica",jamaican,jamaican,female,1944,jamaica,True,,,,1.0,1.0,1.0,1.0
14,14,28.0,14.0,"monrovia, liberia",liberian,liberian,female,1771,liberia,True,,,,1.0,1.0,1.0,1.0
15,15,38.0,5.0,"monrovia, liberia",liberian,liberian,female,2141,liberia,True,,,,1.0,1.0,1.0,1.0
16,16,50.0,16.0,"waspam, rio coco, nicaragua",nicaragua,nicaragua,male,2092,nicaragua,True,,,,1.0,1.0,1.0,1.0
17,17,20.0,8.0,"bilwi, puerto cabezas, nicaragua",nicaragua,nicaragua,male,2095,nicaragua,True,,,,1.0,1.0,1.0,1.0
18,18,37.0,24.0,"bilwi, puerto cabezas, nicaragua",nicaragua,nicaragua,male,2097,nicaragua,True,,,,1.0,1.0,1.0,1.0
19,19,36.0,6.0,"polokwane, limpopo, south africa",northern,northern,female,1213,south africa,True,,,,1.0,1.0,1.0,1.0
20,20,25.0,5.0,"jammu, kashmir, india",poonchi1,poonchi,male,425,india,True,,,,1.0,1.0,1.0,1.0
21,21,28.0,11.0,"colombo, sri lanka",sinhalese2,sinhalese,female,318,sri lanka,True,,,,1.0,1.0,1.0,1.0
22,22,25.0,8.0,"colombo, sri lanka",sinhalese3,sinhalese,female,461,sri lanka,True,,,,1.0,1.0,1.0,1.0
23,23,40.0,15.0,"katunayake, sri lanka",sinhalese4,sinhalese,male,993,sri lanka,True,,,,1.0,1.0,1.0,1.0
24,24,26.0,13.0,"colombo, sri lanka",sinhalese5,sinhalese,female,1789,sri lanka,True,,,,1.0,1.0,1.0,1.0
25,25,21.0,10.0,"eischoll, switzerland",swiss,swiss,male,493,switzerland,True,,,,1.0,1.0,1.0,1.0
26,26,42.0,14.0,"winterthur, switzerland",swiss,swiss,female,682,switzerland,True,,,,1.0,1.0,1.0,1.0
27,27,30.0,13.0,"muri, aargau, switzerland",swiss,swiss,male,853,switzerland,True,,,,1.0,1.0,1.0,1.0
28,28,24.0,14.0,"bern, switzerland",swiss,swiss,male,1485,switzerland,True,,,,1.0,1.0,1.0,1.0
29,29,34.0,8.0,"uster, switzerland",swiss,swiss,male,1968,switzerland,True,,,,1.0,1.0,1.0,1.0
30,30,37.0,25.0,"baucau, timor-leste",tetun-dili1,tetun-dili,female,1001,timor-leste,True,,,,1.0,1.0,1.0,1.0
31,31,38.0,4.0,"madang, madang province, papua new guinea",tok,tok,male,380,papua new guinea,True,,,,1.0,1.0,1.0,1.0
32,32,27.0,9.0,"virginia, south africa",afrikaans1,afrikaans,female,1,south africa,False,,,,0.188405797,0.275585284,0.18840579710144928,0.2755852842809364
33,33,40.0,5.0,"pretoria, south africa",afrikaans2,afrikaans,male,2,south africa,False,,,,0.0,0.0,0.0,0.0
34,34,43.0,4.0,"pretoria, transvaal, south africa",afrikaans3,afrikaans,male,418,south africa,False,,,,0.014492754,0.028775467,0.014492753623188406,0.028775467338794325
35,35,26.0,8.0,"pretoria, south africa",afrikaans4,afrikaans,male,1159,south africa,False,,,,0.014492754,0.028775467,0.014492753623188406,0.028775467338794325
36,36,19.0,6.0,"cape town, south africa",afrikaans5,afrikaans,male,1432,south africa,False,,,,0.086956522,0.139676539,0.08695652173913043,0.13967653854232298
37,37,25.0,15.0,"diekabo, ivory coast",agni1,agni,male,3,ivory coast,False,,,,0.217391304,0.378516624,0.21739130434782608,0.3785166240409207
38,38,41.0,5.0,"accra, ghana",akan1,akan,male,979,ghana,False,,,,0.101449275,0.17826087,0.10144927536231885,0.17826086956521747
39,39,19.0,6.0,"prishtina, kosovo",albanian1,albanian,male,4,kosovo,False,,,,0.072463768,0.083690549,0.07246376811594203,0.08369054909165141
40,40,33.0,15.0,"tirana, albania",albanian2,albanian,male,5,albania,False,,,,0.086956522,0.151966874,0.08695652173913043,0.15196687370600415
41,41,44.0,35.0,"tirana, albania",albanian3,albanian,male,458,albania,False,,,,0.072463768,0.139676539,0.07246376811594203,0.13967653854232298
42,42,33.0,28.0,"mitrovice, kosovo",albanian4,albanian,male,868,kosovo,False,,,,0.130434783,0.129681912,0.13043478260869565,0.129681912290608
43,43,31.0,11.0,"vlore, albania",albanian5,albanian,male,946,albania,False,,,,0.217391304,0.36462928,0.21739130434782608,0.36462927956311697
44,44,25.0,11.0,"prishtina, kosovo",albanian6,albanian,female,1081,kosovo,False,,,,0.144927536,0.172542107,0.14492753623188406,0.17254210732471598
