,age,age_onset,birthplace,filename,native_language,sex,speakerid,country,file_missing?,Unnamed: 9,Unnamed: 10,Unnamed: 11,wer,wil
0,24.0,12.0,"koussi, senegal",balanta,balanta,male,788,senegal,True,,,,1.0,1.0
1,18.0,10.0,"buea, cameroon",cameroon,cameroon,male,1953,cameroon,True,,,,1.0,1.0
2,48.0,8.0,"hong, adamawa, nigeria",fulfulde,fulfulde,male,1037,nigeria,True,,,,1.0,1.0
3,42.0,42.0,"port-au-prince, haiti",haitian,haitian,male,1165,haiti,True,,,,1.0,1.0
4,40.0,35.0,"port-au-prince, haiti",haitian,haitian,male,1166,haiti,True,,,,1.0,1.0
5,43.0,41.0,"port-au-prince, haiti",haitian,haitian,male,1167,haiti,True,,,,1.0,1.0
6,21.0,21.0,"port-au-prince, haiti",haitian,haitian,male,1168,haiti,True,,,,1.0,1.0
7,54.0,51.0,"port-au-prince, haiti",haitian,haitian,female,1169,haiti,True,,,,1.0,1.0
8,18.0,16.0,"ouanaminthe, haiti",haitian,haitian,female,1866,haiti,True,,,,1.0,1.0
9,73.0,5.0,"pepeekeo, hawai'i, usa",hawai'i,hawai'i,male,1675,usa,True,,,,1.0,1.0
10,69.0,4.0,"pa'ia, hawai'i, usa",hawai'i,hawai'i,female,1676,usa,True,,,,1.0,1.0
11,69.0,7.0,"cave valley, jamaica",jamaican,jamaican,male,967,jamaica,True,,,,1.0,1.0
12,21.0,6.0,"kingston, jamaica",jamaican,jamaican,male,1540,jamaica,True,,,,1.0,1.0
13,19.0,3.0,"montego bay, jamaica",jamaican,jamaican,female,1944,jamaica,True,,,,1.0,1.0
14,28.0,14.0,"monrovia, liberia",liberian,liberian,female,1771,liberia,True,,,,1.0,1.0
15,38.0,5.0,"monrovia, liberia",liberian,liberian,female,2141,liberia,True,,,,1.0,1.0
16,50.0,16.0,"waspam, rio coco, nicaragua",nicaragua,nicaragua,male,2092,nicaragua,True,,,,1.0,1.0
17,20.0,8.0,"bilwi, puerto cabezas, nicaragua",nicaragua,nicaragua,male,2095,nicaragua,True,,,,1.0,1.0
18,37.0,24.0,"bilwi, puerto cabezas, nicaragua",nicaragua,nicaragua,male,2097,nicaragua,True,,,,1.0,1.0
19,36.0,6.0,"polokwane, limpopo, south africa",northern,northern,female,1213,south africa,True,,,,1.0,1.0
20,25.0,5.0,"jammu, kashmir, india",poonchi1,poonchi,male,425,india,True,,,,1.0,1.0
21,28.0,11.0,"colombo, sri lanka",sinhalese2,sinhalese,female,318,sri lanka,True,,,,1.0,1.0
22,25.0,8.0,"colombo, sri lanka",sinhalese3,sinhalese,female,461,sri lanka,True,,,,1.0,1.0
23,40.0,15.0,"katunayake, sri lanka",sinhalese4,sinhalese,male,993,sri lanka,True,,,,1.0,1.0
24,26.0,13.0,"colombo, sri lanka",sinhalese5,sinhalese,female,1789,sri lanka,True,,,,1.0,1.0
25,21.0,10.0,"eischoll, switzerland",swiss,swiss,male,493,switzerland,True,,,,1.0,1.0
26,42.0,14.0,"winterthur, switzerland",swiss,swiss,female,682,switzerland,True,,,,1.0,1.0
27,30.0,13.0,"muri, aargau, switzerland",swiss,swiss,male,853,switzerland,True,,,,1.0,1.0
28,24.0,14.0,"bern, switzerland",swiss,swiss,male,1485,switzerland,True,,,,1.0,1.0
29,34.0,8.0,"uster, switzerland",swiss,swiss,male,1968,switzerland,True,,,,1.0,1.0
