,Unnamed: 0,age,age_onset,birthplace,filename,native_language,sex,speakerid,country,file_missing?,Unnamed: 9,Unnamed: 10,Unnamed: 11,wer,wil,new_wer,new_wil,wer_improved,wil_improved
0,0,24,12,"koussi, senegal",balanta,balanta,male,788,senegal,TRUE,,,,1,1,1,1,FALSE,FALSE
1,1,18,10,"buea, cameroon",cameroon,cameroon,male,1953,cameroon,TRUE,,,,1,1,1,1,FALSE,FALSE
2,2,48,8,"hong, adamawa, nigeria",fulfulde,fulfulde,male,1037,nigeria,TRUE,,,,1,1,1,1,FALSE,FALSE
3,3,42,42,"port-au-prince, haiti",haitian,haitian,male,1165,haiti,TRUE,,,,1,1,1,1,FALSE,FALSE
4,4,40,35,"port-au-prince, haiti",haitian,haitian,male,1166,haiti,TRUE,,,,1,1,1,1,FALSE,FALSE
5,5,43,41,"port-au-prince, haiti",haitian,haitian,male,1167,haiti,TRUE,,,,1,1,1,1,FALSE,FALSE
6,6,21,21,"port-au-prince, haiti",haitian,haitian,male,1168,haiti,TRUE,,,,1,1,1,1,FALSE,FALSE
7,7,54,51,"port-au-prince, haiti",haitian,haitian,female,1169,haiti,TRUE,,,,1,1,1,1,FALSE,FALSE
8,8,18,16,"ouanaminthe, haiti",haitian,haitian,female,1866,haiti,TRUE,,,,1,1,1,1,FALSE,FALSE
9,9,73,5,"pepeekeo, hawai'i, usa",hawai'i,hawai'i,male,1675,usa,TRUE,,,,1,1,1,1,FALSE,FALSE
10,10,69,4,"pa'ia, hawai'i, usa",hawai'i,hawai'i,female,1676,usa,TRUE,,,,1,1,1,1,FALSE,FALSE
11,11,69,7,"cave valley, jamaica",jamaican,jamaican,male,967,jamaica,TRUE,,,,1,1,1,1,FALSE,FALSE
12,12,21,6,"kingston, jamaica",jamaican,jamaican,male,1540,jamaica,TRUE,,,,1,1,1,1,FALSE,FALSE
13,13,19,3,"montego bay, jamaica",jamaican,jamaican,female,1944,jamaica,TRUE,,,,1,1,1,1,FALSE,FALSE
14,14,28,14,"monrovia, liberia",liberian,liberian,female,1771,liberia,TRUE,,,,1,1,1,1,FALSE,FALSE
15,15,38,5,"monrovia, liberia",liberian,liberian,female,2141,liberia,TRUE,,,,1,1,1,1,FALSE,FALSE
16,16,50,16,"waspam, rio coco, nicaragua",nicaragua,nicaragua,male,2092,nicaragua,TRUE,,,,1,1,1,1,FALSE,FALSE
17,17,20,8,"bilwi, puerto cabezas, nicaragua",nicaragua,nicaragua,male,2095,nicaragua,TRUE,,,,1,1,1,1,FALSE,FALSE
18,18,37,24,"bilwi, puerto cabezas, nicaragua",nicaragua,nicaragua,male,2097,nicaragua,TRUE,,,,1,1,1,1,FALSE,FALSE
19,19,36,6,"polokwane, limpopo, south africa",northern,northern,female,1213,south africa,TRUE,,,,1,1,1,1,FALSE,FALSE
20,20,25,5,"jammu, kashmir, india",poonchi1,poonchi,male,425,india,TRUE,,,,1,1,1,1,FALSE,FALSE
21,21,28,11,"colombo, sri lanka",sinhalese2,sinhalese,female,318,sri lanka,TRUE,,,,1,1,1,1,FALSE,FALSE
22,22,25,8,"colombo, sri lanka",sinhalese3,sinhalese,female,461,sri lanka,TRUE,,,,1,1,1,1,FALSE,FALSE
23,23,40,15,"katunayake, sri lanka",sinhalese4,sinhalese,male,993,sri lanka,TRUE,,,,1,1,1,1,FALSE,FALSE
24,24,26,13,"colombo, sri lanka",sinhalese5,sinhalese,female,1789,sri lanka,TRUE,,,,1,1,1,1,FALSE,FALSE
25,25,21,10,"eischoll, switzerland",swiss,swiss,male,493,switzerland,TRUE,,,,1,1,1,1,FALSE,FALSE
26,26,42,14,"winterthur, switzerland",swiss,swiss,female,682,switzerland,TRUE,,,,1,1,1,1,FALSE,FALSE
27,27,30,13,"muri, aargau, switzerland",swiss,swiss,male,853,switzerland,TRUE,,,,1,1,1,1,FALSE,FALSE
28,28,24,14,"bern, switzerland",swiss,swiss,male,1485,switzerland,TRUE,,,,1,1,1,1,FALSE,FALSE
29,29,34,8,"uster, switzerland",swiss,swiss,male,1968,switzerland,TRUE,,,,1,1,1,1,FALSE,FALSE
30,30,37,25,"baucau, timor-leste",tetun-dili1,tetun-dili,female,1001,timor-leste,TRUE,,,,1,1,1,1,FALSE,FALSE
31,31,38,4,"madang, madang province, papua new guinea",tok,tok,male,380,papua new guinea,TRUE,,,,1,1,1,1,FALSE,FALSE
32,32,27,9,"virginia, south africa",afrikaans1,afrikaans,female,1,south africa,FALSE,,,,0.188405797,0.275585284,0.304347826,0.443478261,FALSE,FALSE
33,33,40,5,"pretoria, south africa",afrikaans2,afrikaans,male,2,south africa,FALSE,,,,0,0,0.014492754,0.014492754,FALSE,FALSE
34,34,43,4,"pretoria, transvaal, south africa",afrikaans3,afrikaans,male,418,south africa,FALSE,,,,0.014492754,0.028775467,0.057971014,0.099531117,FALSE,FALSE
35,35,26,8,"pretoria, south africa",afrikaans4,afrikaans,male,1159,south africa,FALSE,,,,0.014492754,0.028775467,0.057971014,0.11258139,FALSE,FALSE
36,36,19,6,"cape town, south africa",afrikaans5,afrikaans,male,1432,south africa,FALSE,,,,0.086956522,0.139676539,0.217391304,0.339673913,FALSE,FALSE
37,37,25,15,"diekabo, ivory coast",agni1,agni,male,3,ivory coast,FALSE,,,,0.217391304,0.378516624,0.565217391,0.722479186,FALSE,FALSE
38,38,41,5,"accra, ghana",akan1,akan,male,979,ghana,FALSE,,,,0.101449275,0.17826087,0.275362319,0.437378326,FALSE,FALSE
39,39,19,6,"prishtina, kosovo",albanian1,albanian,male,4,kosovo,FALSE,,,,0.072463768,0.083690549,0.130434783,0.17826087,FALSE,FALSE
40,40,33,15,"tirana, albania",albanian2,albanian,male,5,albania,FALSE,,,,0.086956522,0.151966874,0.405797101,0.492451691,FALSE,FALSE
41,41,44,35,"tirana, albania",albanian3,albanian,male,458,albania,FALSE,,,,0.072463768,0.139676539,0.202898551,0.345662989,FALSE,FALSE
42,42,33,28,"mitrovice, kosovo",albanian4,albanian,male,868,kosovo,FALSE,,,,0.130434783,0.129681912,0.188405797,0.240457236,FALSE,FALSE
43,43,31,11,"vlore, albania",albanian5,albanian,male,946,albania,FALSE,,,,0.217391304,0.36462928,0.260869565,0.377961813,FALSE,FALSE
44,44,25,11,"prishtina, kosovo",albanian6,albanian,female,1081,kosovo,FALSE,,,,0.144927536,0.172542107,0.202898551,0.283034953,FALSE,FALSE
45,45,45,11,"prishtina, kosovo",albanian7,albanian,female,1403,kosovo,FALSE,,,,0,0,0.086956522,0.128458498,FALSE,FALSE
46,46,43,9,"prishtina, kosovo",albanian8,albanian,female,1404,kosovo,FALSE,,,,0.057971014,0.069243156,0.15942029,0.209486166,FALSE,FALSE
47,47,22,6,"tirana, albania",albanian9,albanian,female,1706,albania,FALSE,,,,0.014492754,0.028775467,0.043478261,0.085066163,FALSE,FALSE
48,48,37,32,"tata, morocco",amazigh1,amazigh,male,601,morocco,FALSE,,,,0.246376812,0.415098421,0.550724638,0.683465086,FALSE,FALSE
49,49,39,16,"ouarzazat, morocco",amazigh2,amazigh,male,1498,morocco,FALSE,,,,0.173913043,0.293425751,0.15942029,0.268851082,TRUE,TRUE
50,50,20,5,"addis ababa, ethiopia",amharic1,amharic,female,6,ethiopia,FALSE,,,,0.362318841,0.529198636,0.492753623,0.63013285,FALSE,FALSE
51,51,29,19,"gonder, ethiopia",amharic10,amharic,female,998,ethiopia,FALSE,,,,0.231884058,0.4099979,0.637681159,0.735869565,FALSE,FALSE
52,52,24,17,"addis ababa, ethiopia",amharic11,amharic,female,1129,ethiopia,FALSE,,,,0.115942029,0.18983466,0.15942029,0.254658385,FALSE,FALSE
53,53,26,15,"addis ababa, ethiopia",amharic12,amharic,female,1130,ethiopia,FALSE,,,,0.246376812,0.359869361,3.101449275,0.979405034,FALSE,FALSE
54,54,28,6,"addis ababa, ethiopia",amharic13,amharic,female,1131,ethiopia,FALSE,,,,0.101449275,0.166351607,0.231884058,0.339673913,FALSE,FALSE
55,55,31,12,"addis ababa, ethiopia",amharic14,amharic,male,1515,ethiopia,FALSE,,,,0.231884058,0.308914036,0.507246377,0.696702373,FALSE,FALSE
56,56,23,6,"addis ababa, ethiopia",amharic15,amharic,male,1516,ethiopia,FALSE,,,,0.275362319,0.445652174,0.289855072,0.420048309,FALSE,TRUE
57,57,36,11,"werder, ethiopia",amharic16,amharic,male,1854,ethiopia,FALSE,,,,0.188405797,0.31758034,0.202898551,0.335748792,FALSE,FALSE
58,58,21,9,"addis ababa, ethiopia",amharic17,amharic,male,1906,ethiopia,FALSE,,,,0.115942029,0.218441504,0.304347826,0.464659978,FALSE,FALSE
59,59,20,2,"addis ababa, ethiopia",amharic18,amharic,female,2017,ethiopia,FALSE,,,,0,0,0.057971014,0.099531117,FALSE,FALSE
60,60,19,10,"tefki, ethiopia",amharic19,amharic,female,2132,ethiopia,FALSE,,,,0.043478261,0.071611253,0.086956522,0.154092072,FALSE,FALSE
61,61,23,7,"arba minch, ethiopia",amharic2,amharic,male,7,ethiopia,FALSE,,,,0.275362319,0.358504958,0.507246377,0.619235837,FALSE,FALSE
62,62,52,24,"addis ababa, ethiopia",amharic20,amharic,female,2135,ethiopia,FALSE,,,,0.217391304,0.329192547,0.550724638,0.697227473,FALSE,FALSE
63,63,27,8,"addis ababa, ethiopia",amharic3,amharic,male,8,ethiopia,FALSE,,,,0.347826087,0.542288557,0.420289855,0.600617724,FALSE,FALSE
64,64,20,7,"addis ababa, ethiopia",amharic4,amharic,male,9,ethiopia,FALSE,,,,0.347826087,0.536021844,0.550724638,0.632962588,FALSE,FALSE
65,65,31,7,"addis ababa, ethiopia",amharic5,amharic,male,10,ethiopia,FALSE,,,,0.173913043,0.268851082,0.260869565,0.411005435,FALSE,FALSE
66,66,31,4,"addis ababa, ethiopia",amharic6,amharic,female,985,ethiopia,FALSE,,,,0.115942029,0.218441504,0.31884058,0.469979296,FALSE,FALSE
67,67,38,13,"addis ababa, ethiopia",amharic7,amharic,male,989,ethiopia,FALSE,,,,0.014492754,0.028775467,0.101449275,0.129528986,FALSE,FALSE
68,68,30,12,"addis ababa, ethiopia",amharic8,amharic,female,990,ethiopia,FALSE,,,,0.304347826,0.449862906,0.594202899,0.747504026,FALSE,FALSE
69,69,40,12,"addis ababa, ethiopia",amharic9,amharic,male,991,ethiopia,FALSE,,,,0.536231884,0.597695128,3.782608696,0.963315217,FALSE,FALSE
70,70,38,12,"riyadh, saudi arabia",arabic1,arabic,female,11,saudi arabia,FALSE,,,,0.15942029,0.23561704,0.47826087,0.59168242,FALSE,FALSE
71,71,26,5,"cairo, egypt",arabic10,arabic,male,12,egypt,FALSE,,,,0.043478261,0.041666667,0.289855072,0.341238472,FALSE,FALSE
72,72,40,10,"beirut, lebanon",arabic100,arabic,female,2159,lebanon,FALSE,,,,0.057971014,0.086091283,0.115942029,0.1685053,FALSE,FALSE
73,73,21,10,"doha, qatar",arabic101,arabic,male,2160,qatar,FALSE,,,,0.101449275,0.149557166,0.47826087,0.600370028,FALSE,FALSE
74,74,22,3,"jiddah, saudi arabia",arabic102,arabic,male,2161,saudi arabia,FALSE,,,,0.043478261,0.085066163,0.101449275,0.180733163,FALSE,FALSE
75,75,30,14,"monastir, tunisia",arabic11,arabic,female,13,tunisia,FALSE,,,,0.144927536,0.22128488,0.260869565,0.329192547,FALSE,FALSE
76,76,32,11,"baghdad, iraq",arabic12,arabic,male,14,iraq,FALSE,,,,0.057971014,0.086091283,0.550724638,0.656899811,FALSE,FALSE
77,77,25,15,"zabbougha, lebanon",arabic13,arabic,male,15,lebanon,FALSE,,,,0.144927536,0.215350071,0.130434783,0.209486166,TRUE,TRUE
78,78,47,11,"amman, jordan",arabic14,arabic,male,428,jordan,FALSE,,,,0.15942029,0.258098892,0.565217391,0.689440994,FALSE,FALSE
79,79,40,33,"qayrawan, tunisia",arabic15,arabic,male,437,tunisia,FALSE,,,,0.289855072,0.344814606,0.463768116,0.516241879,FALSE,FALSE
80,80,22,16,"meknes, morocco",arabic16,arabic,male,471,morocco,FALSE,,,,0.15942029,0.279296066,0.246376812,0.383179622,FALSE,FALSE
81,81,35,15,"settat, morocco",arabic17,arabic,male,512,morocco,FALSE,,,,0.043478261,0.070600414,0.202898551,0.311374616,FALSE,FALSE
82,82,18,6,"kuwait city, kuwait",arabic18,arabic,male,539,kuwait,FALSE,,,,0.086956522,0.151966874,0.231884058,0.383179622,FALSE,FALSE
83,83,43,18,"khouribga, morocco",arabic19,arabic,male,625,morocco,FALSE,,,,0.15942029,0.251006441,0.449275362,0.548845947,FALSE,FALSE
84,84,18,2.5,"damascus, syria",arabic2,arabic,male,16,syria,FALSE,,,,0.028985507,0.042650104,0.043478261,0.057130855,FALSE,FALSE
85,85,36,12,"chtaura, beqa valley, lebanon",arabic20,arabic,male,643,lebanon,FALSE,,,,0.043478261,0.071611253,0.188405797,0.289855072,FALSE,FALSE
86,86,46,30,"beirut, lebanon",arabic21,arabic,female,670,lebanon,FALSE,,,,0,0,0.086956522,0.14146658,FALSE,FALSE
87,87,23,10,"abu dhabi, united arab emirates",arabic22,arabic,female,920,united arab emirates,FALSE,,,,0.15942029,0.268851082,0.739130435,0.885471898,FALSE,FALSE
88,88,42,13,"al mahalla, egypt",arabic23,arabic,male,927,egypt,FALSE,,,,0.014492754,0.028775467,0.072463768,0.127024723,FALSE,FALSE
89,89,40,7,"cairo, egypt",arabic24,arabic,male,970,egypt,FALSE,,,,0.31884058,0.470426949,1,1,FALSE,FALSE
90,90,38,5,"ramun, israel (occupied territory)",arabic25,arabic,male,1011,israel (occupied territory),FALSE,,,,0.043478261,0.056133905,0.115942029,0.142920847,FALSE,FALSE
91,91,43,14,"amman, jordan",arabic26,arabic,female,1012,jordan,FALSE,,,,0.217391304,0.322866345,0.391304348,0.460423634,FALSE,FALSE
92,92,70,10,"jerusalem, israel",arabic27,arabic,male,1013,israel,FALSE,,,,0.260869565,0.382527046,0.666666667,0.747035573,FALSE,FALSE
93,93,30,12,"al-ayn, united arab emirates",arabic28,arabic,male,1115,united arab emirates,FALSE,,,,1.739130435,0.740289855,0.536231884,0.643539932,TRUE,TRUE
94,94,19,17,"doha, qatar",arabic29,arabic,male,1116,qatar,FALSE,,,,0.405797101,0.535488666,0.550724638,0.730171278,FALSE,FALSE
95,95,24,9,"doha, qatar",arabic3,arabic,male,17,qatar,FALSE,,,,0.231884058,0.350724638,0.536231884,0.610380856,FALSE,FALSE
96,96,19,8,"riyadh, saudi arabia",arabic30,arabic,female,1133,saudi arabia,FALSE,,,,0.173913043,0.23684733,0.260869565,0.406236276,FALSE,FALSE
97,97,47,12,"baghdad, iraq",arabic31,arabic,female,1181,iraq,FALSE,,,,0.188405797,0.279296066,0.768115942,0.779891304,FALSE,FALSE
98,98,42,12,"baghdad, iraq",arabic32,arabic,male,1203,iraq,FALSE,,,,0.115942029,0.163911002,0.144927536,0.206947997,FALSE,FALSE
99,99,28,11,"baghdad, iraq",arabic33,arabic,female,1204,iraq,FALSE,,,,0.15942029,0.254658385,0.405797101,0.494394312,FALSE,FALSE
100,100,34,6,"kuwait city, kuwait",arabic34,arabic,female,1253,kuwait,FALSE,,,,0.014492754,0.028775467,0.130434783,0.184782609,FALSE,FALSE
101,101,56,16,"jiddah, saudi arabia",arabic35,arabic,male,1391,saudi arabia,FALSE,,,,0.260869565,0.39110306,0.217391304,0.34131485,TRUE,TRUE
102,102,36,6,"jiddah, saudi arabia",arabic36,arabic,male,1392,saudi arabia,FALSE,,,,0.130434783,0.18983466,0.449275362,0.581449275,FALSE,FALSE
103,103,18,16,"jiddah, saudi arabia",arabic37,arabic,male,1393,saudi arabia,FALSE,,,,0.072463768,0.113995241,0.202898551,0.304117782,FALSE,FALSE
104,104,19,9,"shady grove, maryland, usa",arabic38,arabic,female,1394,usa,FALSE,,,,0.028985507,0.043265132,0.086956522,0.128458498,FALSE,FALSE
105,105,22,5,"jiddah, saudi arabia",arabic39,arabic,male,1405,saudi arabia,FALSE,,,,0.260869565,0.396273292,0.304347826,0.45629529,FALSE,FALSE
106,106,19,6,"sharjah, united arab emirates",arabic4,arabic,male,18,united arab emirates,FALSE,,,,0.130434783,0.204140787,0.304347826,0.452601568,FALSE,FALSE
107,107,19,13,"jiddah, saudi arabia",arabic40,arabic,male,1420,saudi arabia,FALSE,,,,0.173913043,0.293425751,0.420289855,0.562482909,FALSE,FALSE
108,108,25,7,"riyadh, saudi arabia",arabic41,arabic,male,1421,saudi arabia,FALSE,,,,0.173913043,0.261266627,0.898550725,0.942028986,FALSE,FALSE
109,109,21,13,"jiddah, saudi arabia",arabic42,arabic,male,1422,saudi arabia,FALSE,,,,0.449275362,0.632916419,1.652173913,0.992334411,FALSE,FALSE
110,110,29,8,"beirut, lebanon",arabic43,arabic,female,1426,lebanon,FALSE,,,,0.086956522,0.154092072,0.188405797,0.278582931,FALSE,FALSE
111,111,29,7,"jiddah, saudi arabia",arabic44,arabic,female,1455,saudi arabia,FALSE,,,,0.057971014,0.098136646,0.231884058,0.321652607,FALSE,FALSE
112,112,32,12,"fort collins, colorado, usa",arabic45,arabic,female,1456,usa,FALSE,,,,0.130434783,0.229606625,0.333333333,0.421383648,FALSE,FALSE
113,113,28,13,"jiddah, saudi arabia",arabic46,arabic,male,1457,saudi arabia,FALSE,,,,0.15942029,0.201086957,0.405797101,0.49726776,FALSE,FALSE
114,114,39,16,"jiddah, saudi arabia",arabic47,arabic,male,1458,saudi arabia,FALSE,,,,1,1,0.942028986,0.971892841,TRUE,TRUE
115,115,29,12,"mecca, saudi arabia",arabic48,arabic,male,1459,saudi arabia,FALSE,,,,0.246376812,0.396273292,0.739130435,0.902173913,FALSE,FALSE
116,116,26,8,"medina, saudi arabia",arabic49,arabic,male,1460,saudi arabia,FALSE,,,,0.057971014,0.11258139,0.492753623,0.632581857,FALSE,FALSE
117,117,19,15,"casablanca, morocco",arabic5,arabic,female,19,morocco,FALSE,,,,0.072463768,0.125258799,0.260869565,0.401656315,FALSE,FALSE
118,118,36,22,"jiddah, saudi arabia",arabic50,arabic,male,1461,saudi arabia,FALSE,,,,0.231884058,0.368760064,0.47826087,0.586654589,FALSE,FALSE
119,119,23,12,"jiddah, saudi arabia",arabic51,arabic,male,1486,saudi arabia,FALSE,,,,0.028985507,0.042650104,0.014492754,0.028775467,TRUE,TRUE
120,120,21,9,"jiddah, saudi arabia",arabic52,arabic,female,1487,saudi arabia,FALSE,,,,0,0,0.028985507,0.057130855,FALSE,FALSE
121,121,36,17,"rabat, morocco",arabic53,arabic,male,1526,morocco,FALSE,,,,0.115942029,0.146886016,0.202898551,0.304117782,FALSE,FALSE
122,122,22,7,"baghdad, iraq",arabic54,arabic,male,1565,iraq,FALSE,,,,0.014492754,0.028775467,0.057971014,0.099531117,FALSE,FALSE
123,123,70,33,"beirut, lebanon",arabic55,arabic,male,1569,lebanon,FALSE,,,,0.144927536,0.240457236,0.246376812,0.332620575,FALSE,FALSE
124,124,43,12,"ain defla, algeria",arabic56,arabic,male,1677,algeria,FALSE,,,,0.043478261,0.085066163,0.057971014,0.11258139,FALSE,FALSE
125,125,28,17,"beirut, lebanon",arabic57,arabic,female,1699,lebanon,FALSE,,,,0.086956522,0.137579098,0.173913043,0.275585284,FALSE,FALSE
126,126,34,9,"baghdad, iraq",arabic58,arabic,male,1700,iraq,FALSE,,,,0.173913043,0.289446826,0.246376812,0.387681159,FALSE,FALSE
127,127,55,9,"irbid, jordan",arabic59,arabic,male,1702,jordan,FALSE,,,,0.043478261,0.070600414,0.130434783,0.204140787,FALSE,FALSE
128,128,21,14.5,"sanaa, yemen",arabic6,arabic,male,20,yemen,FALSE,,,,0.188405797,0.31758034,0.347826087,0.502579219,FALSE,FALSE
129,129,60,14,"cairo, egypt",arabic60,arabic,male,1711,egypt,FALSE,,,,0.057971014,0.099531117,0.608695652,0.665814152,FALSE,FALSE
130,130,20,7,"manama, bahrain",arabic61,arabic,male,1753,bahrain,FALSE,,,,0.072463768,0.125258799,0.115942029,0.182916118,FALSE,FALSE
131,131,19,18,"ad dammam, saudi arabia",arabic62,arabic,male,1768,saudi arabia,FALSE,,,,0.130434783,0.218441504,0.550724638,0.632962588,FALSE,FALSE
132,132,28,10,"bani walid, libya",arabic63,arabic,female,1769,libya,FALSE,,,,0.086956522,0.123188406,0.68115942,0.760416667,FALSE,FALSE
133,133,23,6,"riyadh, saudi arabia",arabic64,arabic,male,1777,saudi arabia,FALSE,,,,0.043478261,0.071611253,0.202898551,0.325529543,FALSE,FALSE
134,134,32,10,"samail, oman",arabic65,arabic,female,1778,oman,FALSE,,,,0.15942029,0.279296066,0.130434783,0.229606625,TRUE,TRUE
135,135,50,14,"medina, saudi arabia",arabic66,arabic,male,1784,saudi arabia,FALSE,,,,0.130434783,0.232736573,0.739130435,0.832298137,FALSE,FALSE
136,136,43,22,"nasriah, iraq",arabic67,arabic,male,1785,iraq,FALSE,,,,0.15942029,0.240457236,0.333333333,0.424287856,FALSE,FALSE
137,137,20,6,"london, uk",arabic68,arabic,male,1805,uk,FALSE,,,,0.086956522,0.137579098,0.260869565,0.309997544,FALSE,FALSE
138,138,55,15,"kerma, sudan",arabic69,arabic,female,1810,sudan,FALSE,,,,0.289855072,0.464659978,0.52173913,0.661634461,FALSE,FALSE
139,139,18,15,"casablanca, morocco",arabic7,arabic,female,21,morocco,FALSE,,,,0.072463768,0.113995241,0.231884058,0.345662989,FALSE,FALSE
140,140,47,16,"casablanca, morocco",arabic70,arabic,male,1827,morocco,FALSE,,,,0.188405797,0.283034953,0.202898551,0.325529543,FALSE,FALSE
141,141,29,21,"kuwait city, kuwait",arabic71,arabic,female,1828,kuwait,FALSE,,,,0.014492754,0.028775467,0.15942029,0.238224638,FALSE,FALSE
142,142,20,11,"baghdad, iraq",arabic72,arabic,female,1832,iraq,FALSE,,,,0.144927536,0.243856333,0.246376812,0.387523629,FALSE,FALSE
143,143,47,7,"nazareth, israel",arabic73,arabic,female,1841,israel,FALSE,,,,0.014492754,0.028775467,0.072463768,0.113995241,FALSE,FALSE
144,144,18,4,"alexandria, egypt",arabic74,arabic,male,1870,egypt,FALSE,,,,0.115942029,0.180733163,0.246376812,0.357567118,FALSE,FALSE
145,145,26,2,"riyadh, saudi arabia",arabic75,arabic,female,1885,saudi arabia,FALSE,,,,0.028985507,0.042650104,0.072463768,0.127024723,FALSE,FALSE
146,146,25,4,"jiddah, saudi arabia",arabic76,arabic,male,1892,saudi arabia,FALSE,,,,0.057971014,0.083690549,0.072463768,0.11258139,FALSE,FALSE
