,age,age_onset,birthplace,filename,native_language,sex,speakerid,country,file_missing?,Unnamed: 9,Unnamed: 10,Unnamed: 11,wer,wil
0,24,12,"koussi, senegal",balanta,balanta,male,788,senegal,TRUE,,,,1,1
1,18,10,"buea, cameroon",cameroon,cameroon,male,1953,cameroon,TRUE,,,,1,1
2,48,8,"hong, adamawa, nigeria",fulfulde,fulfulde,male,1037,nigeria,TRUE,,,,1,1
3,42,42,"port-au-prince, haiti",haitian,haitian,male,1165,haiti,TRUE,,,,1,1
4,40,35,"port-au-prince, haiti",haitian,haitian,male,1166,haiti,TRUE,,,,1,1
5,43,41,"port-au-prince, haiti",haitian,haitian,male,1167,haiti,TRUE,,,,1,1
6,21,21,"port-au-prince, haiti",haitian,haitian,male,1168,haiti,TRUE,,,,1,1
7,54,51,"port-au-prince, haiti",haitian,haitian,female,1169,haiti,TRUE,,,,1,1
8,18,16,"ouanaminthe, haiti",haitian,haitian,female,1866,haiti,TRUE,,,,1,1
9,73,5,"pepeekeo, hawai'i, usa",hawai'i,hawai'i,male,1675,usa,TRUE,,,,1,1
10,69,4,"pa'ia, hawai'i, usa",hawai'i,hawai'i,female,1676,usa,TRUE,,,,1,1
11,69,7,"cave valley, jamaica",jamaican,jamaican,male,967,jamaica,TRUE,,,,1,1
12,21,6,"kingston, jamaica",jamaican,jamaican,male,1540,jamaica,TRUE,,,,1,1
13,19,3,"montego bay, jamaica",jamaican,jamaican,female,1944,jamaica,TRUE,,,,1,1
14,28,14,"monrovia, liberia",liberian,liberian,female,1771,liberia,TRUE,,,,1,1
15,38,5,"monrovia, liberia",liberian,liberian,female,2141,liberia,TRUE,,,,1,1
16,50,16,"waspam, rio coco, nicaragua",nicaragua,nicaragua,male,2092,nicaragua,TRUE,,,,1,1
17,20,8,"bilwi, puerto cabezas, nicaragua",nicaragua,nicaragua,male,2095,nicaragua,TRUE,,,,1,1
18,37,24,"bilwi, puerto cabezas, nicaragua",nicaragua,nicaragua,male,2097,nicaragua,TRUE,,,,1,1
19,36,6,"polokwane, limpopo, south africa",northern,northern,female,1213,south africa,TRUE,,,,1,1
20,25,5,"jammu, kashmir, india",poonchi1,poonchi,male,425,india,TRUE,,,,1,1
21,28,11,"colombo, sri lanka",sinhalese2,sinhalese,female,318,sri lanka,TRUE,,,,1,1
22,25,8,"colombo, sri lanka",sinhalese3,sinhalese,female,461,sri lanka,TRUE,,,,1,1
23,40,15,"katunayake, sri lanka",sinhalese4,sinhalese,male,993,sri lanka,TRUE,,,,1,1
